"Trial","Year","AgeBucket","Age","Female","Male"
1,2020,1,0,45,43
1,2020,1,1,45,44
1,2020,1,2,44,44
1,2020,1,3,44,44
1,2020,1,4,43,44
1,2020,1,5,43,44
1,2020,1,6,42,44
1,2020,1,7,42,45
1,2020,1,8,41,45
1,2020,1,9,41,45
1,2020,1,10,40,45
1,2020,1,11,40,45
1,2020,1,12,39,45
1,2020,1,13,39,45
1,2020,1,14,38,45
1,2020,1,15,38,45
1,2020,1,16,38,45
1,2020,1,17,37,45
1,2020,1,18,37,45
1,2020,1,19,36,45
1,2020,1,20,36,44
1,2020,1,21,35,44
1,2020,1,22,34,44
1,2020,1,23,34,43
1,2020,1,24,33,43
1,2020,1,25,33,42
1,2020,1,26,32,42
1,2020,1,27,32,41
1,2020,1,28,31,40
1,2020,1,29,31,39
1,2020,1,30,30,39
1,2020,1,31,29,38
1,2020,1,32,29,37
1,2020,1,33,28,36
1,2020,1,34,28,35
1,2020,1,35,27,34
1,2020,1,36,26,33
1,2020,1,37,26,32
1,2020,1,38,25,31
1,2020,1,39,24,30
1,2020,1,40,24,29
1,2020,1,41,23,28
1,2020,1,42,22,27
1,2020,1,43,21,26
1,2020,1,44,20,25
1,2020,1,45,20,24
1,2020,1,46,19,23
1,2020,1,47,18,22
1,2020,1,48,17,20
1,2020,1,49,16,19
1,2020,1,50,16,18
1,2020,1,51,15,17
1,2020,1,52,14,16
1,2020,1,53,13,15
1,2020,1,54,12,14
1,2020,1,55,12,13
1,2020,1,56,11,12
1,2020,1,57,10,12
1,2020,1,58,9,11
1,2020,1,59,9,10
1,2020,1,60,8,9
1,2020,1,61,7,8
1,2020,1,62,7,8
1,2020,1,63,6,7
1,2020,1,64,6,6
1,2020,1,65,5,6
1,2020,1,66,5,5
1,2020,1,67,4,5
1,2020,1,68,4,4
1,2020,1,69,4,4
1,2020,1,70,3,4
1,2020,1,71,3,3
1,2020,1,72,3,3
1,2020,1,73,2,3
1,2020,1,74,2,3
1,2020,1,75,2,3
1,2020,1,76,2,2
1,2020,1,77,2,2
1,2020,1,78,1,2
1,2020,1,79,1,2
1,2020,1,80,1,2
1,2020,1,81,1,2
1,2020,1,82,1,2
1,2020,1,83,1,2
1,2020,1,84,1,2
1,2020,1,85,1,2
1,2020,1,86,1,2
1,2020,1,87,1,2
1,2020,1,88,1,2
1,2020,1,89,1,2
1,2020,1,90,1,2
1,2020,1,91,0,2
1,2020,1,92,0,2
1,2020,1,93,0,2
1,2020,1,94,0,2
1,2020,1,95,0,2
1,2020,1,96,0,2
1,2020,1,97,0,2
1,2020,1,98,0,2
1,2020,1,99,0,2
1,2020,1,100,0,2
1,2021,1,0,89,89
1,2021,1,1,45,43
1,2021,1,2,45,44
1,2021,1,3,44,44
1,2021,1,4,44,44
1,2021,1,5,43,44
1,2021,1,6,43,44
1,2021,1,7,42,44
1,2021,1,8,42,45
1,2021,1,9,41,45
1,2021,1,10,41,45
1,2021,1,11,40,45
1,2021,1,12,40,45
1,2021,1,13,39,45
1,2021,1,14,39,45
1,2021,1,15,38,45
1,2021,1,16,38,45
1,2021,1,17,38,45
1,2021,1,18,37,45
1,2021,1,19,37,45
1,2021,1,20,36,45
1,2021,1,21,36,44
1,2021,1,22,35,44
1,2021,1,23,34,44
1,2021,1,24,34,43
1,2021,1,25,33,43
1,2021,1,26,33,42
1,2021,1,27,32,42
1,2021,1,28,32,41
1,2021,1,29,31,40
1,2021,1,30,31,39
1,2021,1,31,30,39
1,2021,1,32,29,38
1,2021,1,33,29,37
1,2021,1,34,28,36
1,2021,1,35,28,35
1,2021,1,36,27,34
1,2021,1,37,26,33
1,2021,1,38,26,32
1,2021,1,39,25,31
1,2021,1,40,24,30
1,2021,1,41,24,29
1,2021,1,42,23,28
1,2021,1,43,22,27
1,2021,1,44,21,26
1,2021,1,45,20,25
1,2021,1,46,20,24
1,2021,1,47,19,23
1,2021,1,48,18,22
1,2021,1,49,17,20
1,2021,1,50,16,19
1,2021,1,51,16,18
1,2021,1,52,15,17
1,2021,1,53,14,16
1,2021,1,54,13,15
1,2021,1,55,12,14
1,2021,1,56,12,13
1,2021,1,57,11,12
1,2021,1,58,10,12
1,2021,1,59,9,11
1,2021,1,60,9,10
1,2021,1,61,8,9
1,2021,1,62,7,8
1,2021,1,63,7,8
1,2021,1,64,6,7
1,2021,1,65,6,6
1,2021,1,66,5,6
1,2021,1,67,5,5
1,2021,1,68,4,5
1,2021,1,69,4,4
1,2021,1,70,4,4
1,2021,1,71,3,4
1,2021,1,72,3,3
1,2021,1,73,3,3
1,2021,1,74,2,3
1,2021,1,75,2,3
1,2021,1,76,2,3
1,2021,1,77,2,2
1,2021,1,78,2,2
1,2021,1,79,1,2
1,2021,1,80,1,2
1,2021,1,81,1,2
1,2021,1,82,1,2
1,2021,1,83,1,2
1,2021,1,84,1,2
1,2021,1,85,1,2
1,2021,1,86,1,2
1,2021,1,87,1,2
1,2021,1,88,1,2
1,2021,1,89,1,2
1,2021,1,90,1,2
1,2021,1,91,1,2
1,2021,1,92,0,2
1,2021,1,93,0,2
1,2021,1,94,0,2
1,2021,1,95,0,2
1,2021,1,96,0,2
1,2021,1,97,0,2
1,2021,1,98,0,2
1,2021,1,99,0,2
1,2021,1,100,0,2
1,2022,1,0,92,91
1,2022,1,1,89,89
1,2022,1,2,45,43
1,2022,1,3,45,44
1,2022,1,4,44,44
1,2022,1,5,44,44
1,2022,1,6,43,44
1,2022,1,7,43,44
1,2022,1,8,42,44
1,2022,1,9,42,45
1,2022,1,10,41,45
1,2022,1,11,41,45
1,2022,1,12,40,45
1,2022,1,13,40,45
1,2022,1,14,39,45
1,2022,1,15,39,45
1,2022,1,16,38,45
1,2022,1,17,38,45
1,2022,1,18,38,45
1,2022,1,19,37,45
1,2022,1,20,37,45
1,2022,1,21,36,45
1,2022,1,22,36,44
1,2022,1,23,35,44
1,2022,1,24,34,44
1,2022,1,25,34,43
1,2022,1,26,33,43
1,2022,1,27,33,42
1,2022,1,28,32,42
1,2022,1,29,32,41
1,2022,1,30,31,40
1,2022,1,31,31,39
1,2022,1,32,30,39
1,2022,1,33,29,38
1,2022,1,34,29,37
1,2022,1,35,28,36
1,2022,1,36,28,35
1,2022,1,37,27,34
1,2022,1,38,26,33
1,2022,1,39,26,32
1,2022,1,40,25,31
1,2022,1,41,24,30
1,2022,1,42,24,29
1,2022,1,43,23,28
1,2022,1,44,22,27
1,2022,1,45,21,26
1,2022,1,46,20,25
1,2022,1,47,20,24
1,2022,1,48,19,23
1,2022,1,49,18,22
1,2022,1,50,17,20
1,2022,1,51,16,19
1,2022,1,52,16,18
1,2022,1,53,15,17
1,2022,1,54,14,16
1,2022,1,55,13,15
1,2022,1,56,12,14
1,2022,1,57,12,13
1,2022,1,58,11,12
1,2022,1,59,10,12
1,2022,1,60,9,11
1,2022,1,61,9,10
1,2022,1,62,8,9
1,2022,1,63,7,8
1,2022,1,64,7,8
1,2022,1,65,6,7
1,2022,1,66,6,6
1,2022,1,67,5,6
1,2022,1,68,5,5
1,2022,1,69,4,5
1,2022,1,70,4,4
1,2022,1,71,4,4
1,2022,1,72,3,4
1,2022,1,73,3,3
1,2022,1,74,3,3
1,2022,1,75,2,3
1,2022,1,76,2,3
1,2022,1,77,2,3
1,2022,1,78,2,2
1,2022,1,79,2,2
1,2022,1,80,1,2
1,2022,1,81,1,2
1,2022,1,82,1,2
1,2022,1,83,1,2
1,2022,1,84,1,2
1,2022,1,85,1,2
1,2022,1,86,1,2
1,2022,1,87,1,2
1,2022,1,88,1,2
1,2022,1,89,1,2
1,2022,1,90,1,2
1,2022,1,91,1,2
1,2022,1,92,1,2
1,2022,1,93,0,2
1,2022,1,94,0,2
1,2022,1,95,0,2
1,2022,1,96,0,2
1,2022,1,97,0,2
1,2022,1,98,0,2
1,2022,1,99,0,2
1,2022,1,100,0,2
1,2023,1,0,88,86
1,2023,1,1,92,91
1,2023,1,2,89,89
1,2023,1,3,45,43
1,2023,1,4,45,44
1,2023,1,5,44,44
1,2023,1,6,44,44
1,2023,1,7,43,44
1,2023,1,8,43,44
1,2023,1,9,42,44
1,2023,1,10,42,45
1,2023,1,11,41,45
1,2023,1,12,41,45
1,2023,1,13,40,45
1,2023,1,14,40,45
1,2023,1,15,39,45
1,2023,1,16,39,45
1,2023,1,17,38,45
1,2023,1,18,38,45
1,2023,1,19,38,45
1,2023,1,20,37,45
1,2023,1,21,37,45
1,2023,1,22,36,45
1,2023,1,23,36,44
1,2023,1,24,35,44
1,2023,1,25,34,44
1,2023,1,26,34,43
1,2023,1,27,33,43
1,2023,1,28,33,42
1,2023,1,29,32,42
1,2023,1,30,32,41
1,2023,1,31,31,40
1,2023,1,32,31,39
1,2023,1,33,30,39
1,2023,1,34,29,38
1,2023,1,35,29,37
1,2023,1,36,28,36
1,2023,1,37,28,35
1,2023,1,38,27,34
1,2023,1,39,26,33
1,2023,1,40,26,32
1,2023,1,41,25,31
1,2023,1,42,24,30
1,2023,1,43,24,29
1,2023,1,44,23,28
1,2023,1,45,22,27
1,2023,1,46,21,26
1,2023,1,47,20,25
1,2023,1,48,20,24
1,2023,1,49,19,23
1,2023,1,50,18,22
1,2023,1,51,17,20
1,2023,1,52,16,19
1,2023,1,53,16,18
1,2023,1,54,15,17
1,2023,1,55,14,16
1,2023,1,56,13,15
1,2023,1,57,12,14
1,2023,1,58,12,13
1,2023,1,59,11,12
1,2023,1,60,10,12
1,2023,1,61,9,11
1,2023,1,62,9,10
1,2023,1,63,8,9
1,2023,1,64,7,8
1,2023,1,65,7,8
1,2023,1,66,6,7
1,2023,1,67,6,6
1,2023,1,68,5,6
1,2023,1,69,5,5
1,2023,1,70,4,5
1,2023,1,71,4,4
1,2023,1,72,4,4
1,2023,1,73,3,4
1,2023,1,74,3,3
1,2023,1,75,3,3
1,2023,1,76,2,3
1,2023,1,77,2,3
1,2023,1,78,2,3
1,2023,1,79,2,2
1,2023,1,80,2,2
1,2023,1,81,1,2
1,2023,1,82,1,2
1,2023,1,83,1,2
1,2023,1,84,1,2
1,2023,1,85,1,2
1,2023,1,86,1,2
1,2023,1,87,1,2
1,2023,1,88,1,2
1,2023,1,89,1,2
1,2023,1,90,1,2
1,2023,1,91,1,2
1,2023,1,92,1,2
1,2023,1,93,1,2
1,2023,1,94,0,2
1,2023,1,95,0,2
1,2023,1,96,0,2
1,2023,1,97,0,2
1,2023,1,98,0,2
1,2023,1,99,0,2
1,2023,1,100,0,2
1,2024,1,0,94,94
1,2024,1,1,88,86
1,2024,1,2,92,91
